Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_21432572		{i}All my life, I've always had a dream.{/i}	game/script.rpy	17	"[what]"
start_4eceea75		{i}To make a game.{/i}	game/script.rpy	18	"[what]"
start_b2442daf		{i}I've always played video games. From Tetris, to Mario, to Call of Duty, to Genshin Impact, I've played all sorts of games.{/i}	game/script.rpy	19	"[what]"
start_ac521a01		{i}And someday, I want to make a game of my own.{/i}	game/script.rpy	20	"[what]"
start_e70a2221	u	So why not just do it?	game/script.rpy	21	u "[what]"
start_c544e78b	pov	Huh?	game/script.rpy	26	pov "[what]"
start_33da4222	e	You heard me. Why not just do it?	game/script.rpy	27	e "[what]"
start_9775e118		Emma's a friend of mine. She takes BS Mathematics, and she's honestly a genius. She's always helped me out with everything, and she's a confident go getter who always pushes me to do my best. But still...	game/script.rpy	28	"[what]"
start_1ea6ec50	pov	What do you mean? I don't know anything about making games!	game/script.rpy	30	pov "[what]"
start_ce60e0f1	e	Maybe... but I do. I played around modding for a while.	game/script.rpy	31	e "[what]"
start_48092423	e	And I can teach you everything I know.	game/script.rpy	32	e "[what]"
start_eec493cc	e	I mean, you can be taught right?	game/script.rpy	33	e "[what]"
willing_8c000eb5	e	Great! This'll be fun! Let's get started!	game/script.rpy	45	e "[what]"
willing_ea7ec535	pov	Huh? Wait, now?	game/script.rpy	46	pov "[what]"
willing_edcc6480	e	Heck yeah! Early bird gets the worm and allat.	game/script.rpy	47	e "[what]"
willing_d6e20fe1	e	What's with that worried look you got? Don't worry, we'll start with something simple.	game/script.rpy	48	e "[what]"
willing_21d0bd7e	e	How about a mobile game? Something simple too like pong. Just so you can get used to it first.	game/script.rpy	49	e "[what]"
willing_2aeb93b8	pov	Pong? Uhh... Sure, why not?	game/script.rpy	50	pov "[what]"
willing_e3a562bf	e	So, first things first. You cool with math?	game/script.rpy	55	e "[what]"
willing_ad7077e5	e	I mean, this kinda thing kinda involves a lot of it.	game/script.rpy	56	e "[what]"
nochoice_39c46e81	pov	Umm... I-	game/script.rpy	65	pov "[what]"
nochoice_8623ecfa	e	I mean we're here now so I guess you're fine with it!	game/script.rpy	68	e "[what]"
nochoice_f0e286ba	e	So, let's get started!	game/script.rpy	69	e "[what]"
nochoice_76c1e336	e	Okay, so first things first. You have a computer right?	game/script.rpy	72	e "[what]"
nochoice_b0fee3ec	e	I mean, you can't really make a game without one.	game/script.rpy	73	e "[what]"
nochoice_2a40beca	e	You do?	game/script.rpy	74	e "[what]"
nochoice_ac9ef359	e	Then... well, before we get started, let's set up a timeline.	game/script.rpy	75	e "[what]"
nochoice_3eaf4504	e	How about... one week? I mean, it's just pong ya know? Shouldn't take too long.	game/script.rpy	76	e "[what]"
nochoice_411eb840	e	You can add some flair too with that time!	game/script.rpy	77	e "[what]"
nochoice_dfab8880	e	Speaking of which, what do you want to add?	game/script.rpy	79	e "[what]"
nochoice_f7d668c8	e	A story? Characters? Dark mode? Anything you want really.	game/script.rpy	80	e "[what]"
nochoice_38aaa6fb	e	Just make sure to keep it simple. I mean, it's your first game after all.	game/script.rpy	81	e "[what]"
nochoice_7c59745a	e	I mean, we only have a week. If it's too much, it may be too much to handle.	game/script.rpy	82	e "[what]"
nochoice_f15d8e05	e	So we should brainstorm a bit first.	game/script.rpy	83	e "[what]"
nochoice_4a9ead28	pov	Uhh... I want...	game/script.rpy	84	pov "[what]"
nochoice_0e9eb0d3	e	Well... that was a lot.	game/script.rpy	89	e "[what]"
nochoice_7280bfb9	e	We've got a bunch of plans here now, but it's up to you to decide what you want.	game/script.rpy	90	e "[what]"
nochoice_60a157dd	e	Prepare a timeline for us. Keep in mind though, we only have {color=#B30000}one week{/color}.	game/script.rpy	91	e "[what]"
nochoice_b37d9a5d	e	So this is what you came up with?	game/script.rpy	95	e "[what]"
nochoice_4d4a47da	e	Are you sure? Really, really sure?	game/script.rpy	96	e "[what]"
nochoice_ed263b7b	e	Well, alright then. It's your game after all.	game/script.rpy	97	e "[what]"
nochoice_392cf30f	e	It's already getting late though, so let's call it a night for now.	game/script.rpy	98	e "[what]"
nochoice_5b419fe1	e	Bye!	game/script.rpy	99	e "[what]"
nochoice_17f1de7a		{i}Suddenly, me and Emma were working together on a game.{/i}	game/script.rpy	103	"[what]"
nochoice_4b7c3389		{i}It was a dream come true. I have to do my best with this game.{/i}	game/script.rpy	104	"[what]"
nochoice_6a6c4beb		{i}I hope I can finish it in time. I mean, it's only pong right?{/i}	game/script.rpy	105	"[what]"
nochoice_a20cefa7		...	game/script.rpy	106	"[what]"
nochoice_ec623d12		{b}DAY 1 - 7 DAYS LEFT{/b}	game/script.rpy	107	"[what]"
nochoice_b86ad4e2	e	Morning, [inputname]!	game/script.rpy	112	e "[what]"
nochoice_933b500e	e	Had a good night's sleep?	game/script.rpy	113	e "[what]"
nochoice_59639e66	e	So, you're ready to get started now, right?	game/script.rpy	115	e "[what]"
nochoice_a1a54044	e	We have a lot to do after all.	game/script.rpy	116	e "[what]"
nochoice_0f8f73b8	e	Well, yesterday, you said you wanted to add a bunch of flair.	game/script.rpy	118	e "[what]"
nochoice_7e7e89a3	e	But before we can get started with that, you need to program the actual game first.	game/script.rpy	119	e "[what]"
nochoice_0e5e1c2d	e	So, let's start with that.	game/script.rpy	120	e "[what]"
nochoice_0ac5b37a	e	I know you're not much of a programmer, I know how your Com Sci grades are.	game/script.rpy	121	e "[what]"
nochoice_0d95dfee	e	So maybe you could use a change in perspective.	game/script.rpy	122	e "[what]"
nochoice_90f0b02a	e	How about seeing programming as an making arguments with mathematical logic?	game/script.rpy	123	e "[what]"
nochoice_3762c418	e	After all, programming is just a bunch of logic.	game/script.rpy	124	e "[what]"
nochoice_c81c1181	pov	Uhh... I guess?	game/script.rpy	125	pov "[what]"
nochoice_1e64db31	e	So, you know what mathematical logic is right?	game/script.rpy	126	e "[what]"
nochoice_94ced3cb	e	You take Math 10 right?	game/script.rpy	127	e "[what]"
moron_72a33094	e	...	game/script.rpy	137	e "[what]"
moron_987e3d37	e	Really?	game/script.rpy	138	e "[what]"
moron_4a554fb8	e	You academic atrocity.	game/script.rpy	139	e "[what]"
moron_c44be0e4	e	Finee, I guess I can teach you.	game/script.rpy	140	e "[what]"
moron_b3b835d3	e	So, let's start with the basics.	game/script.rpy	141	e "[what]"
moron_d64b2f49	e	So, you get it now?	game/script.rpy	143	e "[what]"
notmoron_a05dd36f	e	Good. Let's go to your place and get started then.	game/script.rpy	147	e "[what]"
notmoron_4fe1df0e	e	Don't worry too much, it's just pong.	game/script.rpy	148	e "[what]"
notmoron_9750918b	e	Here, take this!	game/script.rpy	152	e "[what]"
notmoron_97e02472	pov	Huh? What is this?	game/script.rpy	153	pov "[what]"
notmoron_c71b4988	pov	A rubber duck?	game/script.rpy	154	pov "[what]"
notmoron_1bfc29fd	e	Yeah! It'll help you a lot with programming.	game/script.rpy	155	e "[what]"
notmoron_96fbcf52	e	Trust me! Just try it out when you're having trouble.	game/script.rpy	156	e "[what]"
